Datum;BIEL-BENKEN - Niederschlag (mm oder Liter/m2);AESCH-BL - Niederschlag (mm oder Liter/m2);WALLBACH - Niederschlag (mm oder Liter/m2);FRICK - Niederschlag (mm oder Liter/m2);OBERFLACHS - Niederschlag (mm oder Liter/m2);GRAENICHEN - Niederschlag (mm oder Liter/m2);SEENGEN - Niederschlag (mm oder Liter/m2);BIRMENSTORF - Niederschlag (mm oder Liter/m2);LEUGGERN - Niederschlag (mm oder Liter/m2);TEGERFELDEN - Niederschlag (mm oder Liter/m2);ENDINGEN - Niederschlag (mm oder Liter/m2);KUENTEN - Niederschlag (mm oder Liter/m2);STEINMAUR - Niederschlag (mm oder Liter/m2);WIL-SG - Niederschlag (mm oder Liter/m2);WIL-ZH - Niederschlag (mm oder Liter/m2);HALLAU - Niederschlag (mm oder Liter/m2);UHWIESEN - Niederschlag (mm oder Liter/m2);LINDAU - Niederschlag (mm oder Liter/m2);LIEBENSBERG - Niederschlag (mm oder Liter/m2);UESSLINGEN - Niederschlag (mm oder Liter/m2);MAMMERN - Niederschlag (mm oder Liter/m2);DETTIGHOFEN - Niederschlag (mm oder Liter/m2);THUNDORF - Niederschlag (mm oder Liter/m2);WEINFELDEN - Niederschlag (mm oder Liter/m2)
08.09.2013;17.4;17.8;23;16.8;7.4;26.6;1;21;25.4;16.7;12.4;26.8;0;22.3;37;18.8;35.2;29;20.8;15;24.2;19.6;18.2;21.2
09.09.2013;0.2;0.2;0.6;0.2;0;0.2;0;0;0.2;0.1;0;0.6;0.2;2.8;0;0.4;1.6;1.8;1.2;0.2;0;0.6;1.2;1.2
10.09.2013;2.4;2;3.8;1.2;1.6;5.6;0;2.6;2;0.6;0.6;3.4;1.2;4.1;4;3.6;3.2;2.6;3.4;0.8;2.4;2.8;2;3.6
11.09.2013;1.6;3.8;9.8;3.6;2.4;2.4;0;2.2;6;2.7;0.8;0.6;0;1.8;5;3;1;1.8;3;2.4;5.8;5;1.6;2.8
12.09.2013;0.2;2;5.4;4.4;5.2;9;0;3.8;7.8;7.5;3.4;7.2;0.6;11.1;4;2.6;7.8;20.2;7.6;3.6;8.8;8.8;6.8;9
13.09.2013;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0
14.09.2013;3.4;2.4;3.8;1.2;8;4.6;0;7.2;2;1.8;6;3.4;0.8;3.6;3;1.6;0.8;8;4.8;2.6;1.8;2.6;4.2;16.4
15.09.2013;3.2;8.2;11.8;8.4;5.6;3.2;0;15.2;11;7.7;6.8;11;1.8;9;5;4;5.8;8.4;14.8;5.4;8.2;9.6;11.2;9.2
16.09.2013;12.8;15;22.2;14.8;8.6;22.8;0;11;17;9.9;10.2;17.6;17.6;21;10;8.8;5.4;24.4;14;9.2;19;14.6;12.8;16.4
17.09.2013;0.8;1.6;6.4;4.2;3.6;6;0;7.2;15.4;9.5;7.4;4.8;8.8;7.5;11;13;7.2;14.2;9;6;13.2;15;8.2;12
18.09.2013;5.4;3.8;7.6;4.6;4.6;15.2;0;4.6;19.4;11.4;7.2;7.6;11;12.5;21;20.4;16;8.8;7.8;9.2;23.4;20.4;4.8;16
19.09.2013;0.6;2.4;2.4;2.2;5.2;6.8;0;2;4.2;1.7;1.2;2.8;4;5.2;4;2.2;7.4;4.2;6.4;2.6;6.4;6.6;7;14
20.09.2013;0;0;0;0;0;0;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4
21.09.2013;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.09.2013;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0
23.09.2013;0;0;0.2;0.2;0;0.2;0.2;0.2;0;0.1;0.2;0.2;0;0;0;0.2;0;0;0;0.2;0.2;0;0;0.2
24.09.2013;0;0;0.2;0.2;0;0;0.2;0.2;0.2;0.1;0.2;0.2;0.2;0;0;0;0.2;0;0.2;0.2;0.2;0;0;0.2
25.09.2013;0;0;0.4;0.2;0;0.2;0.2;0;0.4;0.2;0.2;0.2;0.4;0;0;0.2;0.2;0;0.2;0.2;0.2;0;0.2;0.2
26.09.2013;0.4;0;0.8;1.6;1.2;0.6;0.4;2.8;2.2;1.5;1.2;0.8;1.4;4.2;6;2.2;2.8;1;5.4;3.6;3.2;5.4;4.6;5.2
27.09.2013;0.2;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2
28.09.2013;0;0.4;0.4;0.2;0;0;0;0;0;0;0.2;0.4;0.2;1.7;0;0;0;0;0;0;1.6;0.2;0.6;0
29.09.2013;0.8;0.8;0.8;0.4;0;0.2;0.6;2;3;1.7;2.4;1.2;0.6;0.2;0;0;0;0;0.6;0;0;0;0.4;0.2
30.09.2013;0;0.2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
01.10.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.10.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.10.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.10.2013;1.6;2.8;4.4;5.4;3.4;6.2;8.4;10;4.4;3;11.6;8;10.2;7.2;6;0;3;13.8;5;6;7;8.8;16.2;5.2
05.10.2013;7;11;16;10.8;3.4;12.4;10.6;18.4;27;19.5;15.8;14.4;20.6;13.3;16;15.4;12.4;28.4;17;11;16.4;17.6;14.4;12.2
06.10.2013;4.8;4.2;2.2;2.8;3.4;2;0.6;3;2.6;1.4;1;3;2.8;1.3;4;2.8;1.8;8;3.4;3.4;3.4;4;3;4
07.10.2013;4.6;1;0;0;0;0.2;0;0;0.2;0.1;0;0;0;1.4;0;0;0;0.2;0.2;0;0.2;0;0.2;0.4
08.10.2013;0.6;0.2;0.2;0;0;0;0;0.6;7.2;3.3;1;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0.6
09.10.2013;0;0;1.2;0.6;0;0;0.6;1;0.4;0.4;0.4;0.2;3.2;0.1;1;0;0.4;1.2;0.6;3;2.2;0.4;0.4;0.4
10.10.2013;11;19.4;17.6;13;15.6;17.8;17.4;16.4;23.2;11.4;8.4;15.6;21;27.2;17;13.2;10.4;24.4;18.4;10.4;19;3.4;15.2;23
11.10.2013;1.6;3;5;1.8;0.4;0.2;1;0.6;6;3.7;2.4;1;1.4;7;6;0.8;6.4;3;7.2;3.2;4.8;1.2;6;10.4
12.10.2013;7.8;5.6;3.6;2.2;1;2.2;2;0.4;1.4;1;0.8;1.6;1.8;0.9;0;1;0.2;1.2;0.6;0.6;1.2;0.8;0.6;0.6
13.10.2013;0.2;0;0;0.2;0.2;0;0;0;0.4;0.1;0.2;0;0;1.4;0;0.2;0.6;0.8;0.6;0.4;0.6;1;1.2;1.6
14.10.2013;4.2;2.6;4.2;6.8;0.6;0.6;0.4;1.4;17.4;8.3;4.4;1;2.2;0.4;6;5.8;3.4;0.8;0.8;0.6;1.2;0.8;2.4;0.4
15.10.2013;7.2;11;16.6;16.2;9;15;17.2;15.6;15;11;8.8;16.2;20.6;26;17;16.8;12;23.2;23.4;15.4;29.2;30;23.4;32
16.10.2013;1.2;1.8;3;1.8;1.6;1.4;1.4;1.4;1.2;1.1;2;2.6;4.2;2.3;1;0.6;5;2.8;0.4;0.2;1;0.2;0.2;0.4
17.10.2013;0.6;1;3;2.8;2.8;1.8;1;2.2;2.8;1.7;1.2;2.2;1.8;0.9;1;1.6;1.4;3.2;2;1;2.4;1.8;1.6;2.2
18.10.2013;0;0;0;0.2;0;0;0.2;0.2;0.2;0;0.2;0.2;0;0;0;0;0.2;0;0;0;0.2;0;0;0
19.10.2013;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.2
20.10.2013;5.2;3.8;4;2.6;0.8;2;1.8;2;4.6;3;2.4;2;4.4;1.2;5;4.4;4;2.8;2.2;1.4;4;2;1.6;3.2
21.10.2013;3;3.8;3.2;1;0.4;1.8;1.6;0.8;0.2;0.1;0;2;1;0.2;0;1.6;0.4;0.8;1.4;0.6;1.4;0.6;1.6;0.8
22.10.2013;0;0;0;0;0;0;0.2;0.2;0;0.1;0;0.2;0.2;0.2;0;0;0;0;0;0;0.2;0;0;0
23.10.2013;7;9.6;8.8;6.2;4.6;9.6;12;10;7.8;6.4;5.2;13.6;13.4;9.1;8;6.4;6.4;16;10;6.6;9.4;9.2;7.6;8.8
24.10.2013;0.2;0;0;0.2;0;0.2;0.2;0.2;0;0.1;0.2;0.4;0.2;0;0;0;0.2;0.2;0.2;0.2;0.2;0;0;0.2
25.10.2013;0;0;0.2;0.2;0;0.2;0;0.2;0;0.1;0;0.2;0.2;0.1;0;0.2;0.2;0.2;0.2;0.2;0.4;0;0.2;0.2
26.10.2013;0.2;0;0;0.2;0;0;0.2;0.2;0;0.1;0.4;0.2;0.2;0;1;0;0.2;0;0.2;0.2;0.2;0;0;0.2
27.10.2013;3.2;10.8;9.4;13.2;1.8;26.2;14;17.8;5.6;15.7;13.4;16.6;19.8;6;20;14.8;12.8;8.4;10.8;12.8;24.8;12.4;7;6.8
28.10.2013;9.2;9.4;8.2;8.4;5.6;6.6;5.8;8;6.8;3.1;2;8;4.8;0.3;4;3.4;0.2;8.6;4.2;2.2;4.2;2.4;0;0
29.10.2013;2;4.8;6;8.6;11;13.8;15.6;12.8;24.2;10.5;9.6;17.2;13.8;4.9;12;12.2;14.2;15.8;12.4;9.2;17.4;11.6;0;4.8
30.10.2013;0;0.4;0;0;0;0;0;0;0;0.1;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
31.10.2013;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.11.2013;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0.2;0;0.2;0;0;0.2
02.11.2013;2.8;5.6;10.4;9;3.8;6.4;6;9.8;2.2;8.7;8.4;7.6;9.2;3.4;9;7.6;6.6;5.8;4.2;3.4;4.8;4.8;0;3.2
03.11.2013;14.4;19.6;22.8;20.2;14.8;14.6;32.8;26.8;12.8;20.6;21.6;38.8;31.2;27.2;24;18.6;19.2;35.8;23.2;14.2;15.2;15.8;0;21
04.11.2013;1.4;3.4;12.8;10.6;4;5.2;3.8;6.8;23.2;11.7;8.4;4.8;10.6;7;20;20;18.6;9;8.8;6.8;0;0;0;7.8
05.11.2013;2.6;5.4;10.4;9.2;4.2;10.4;8.2;5.8;11.2;6.1;7.4;7;8.4;7.6;4;3.4;2.6;9;4.4;2;0;2;0;4.6
06.11.2013;1.8;1.6;11.4;11.6;8.8;15.6;16.6;13;39.2;14.8;12;18.2;12;5.8;12;8.2;4.8;12.8;6.4;2.4;0.2;6.8;0;12.4
07.11.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.11.2013;5.8;8.4;12.2;10.4;12.6;9.2;11;12.6;3.6;14.3;13.2;11.4;15.2;3.5;16;13.4;8.4;10.2;6.2;4.4;0;4.2;0;3.6
09.11.2013;2.2;2.6;2.4;0.4;2.4;0.4;2.6;2;1.6;1;0.8;0.4;1.4;4.3;0;0.4;6;2.6;3.8;1.2;0;3.8;0;6.6
10.11.2013;6.8;13.2;20;15.2;13.8;10.6;6.8;15;25.8;14.1;14;11.4;18;18.1;20;24.2;20.8;14.2;16;10;0.4;16.6;16.2;20.8
11.11.2013;0;0.4;0.6;0;0;0;0;0;0;0;0;0;0;0.1;0;0.4;0.4;0;0;0.2;0;0;4;0
12.11.2013;0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0
13.11.2013;0;0.4;0;0.6;0;0;0;0;0.2;0.3;0.2;0;0.2;0;2;1.4;0.6;0;0;0.2;0;0;0;0
14.11.2013;0;0;0;0;0;0.4;0.4;0;0.4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.11.2013;0;0;0;0;0;0.4;0.6;0.6;0;0;0;0.8;0;0.3;0;0;0;0.2;0.2;0;0;0;0;0
16.11.2013;0;0;0;0.2;0;0;0;0.2;0;0.2;0.2;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0
17.11.2013;0;0.2;0;0.2;0;0.2;0;0;0.4;0.3;0.2;0;0;0;0;0.4;0.2;0;0;0;0;0;0;0
18.11.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.2
19.11.2013;5.8;8;7.4;4.8;5.4;4.4;5.2;6.4;7.2;6.9;2.6;5.6;4.8;3.4;4;5.8;4;4;3.6;2;0;0;0;2.6
20.11.2013;4;4.6;5.2;2.2;2.8;4.6;3.6;4.2;2;2.1;1.2;4.2;2;2.9;4;2.2;3.4;4.6;3.6;2;0;0;0;4.2
21.11.2013;4.6;4.4;2;1.4;2.2;2.6;2.2;1.2;2.4;2.2;1;3;1.6;0.7;1;1.4;2.4;1;1.6;2.2;0;2.8;0;3.4
22.11.2013;4.4;6.8;9;7.6;5.8;9;12;7.4;8.6;13.2;5.6;10.2;9.4;18.3;10;7.6;5.6;9.6;5.2;5.4;0;5.6;0;8
23.11.2013;13.8;14.2;11.4;11.6;4.4;18.2;19.4;23;21.2;12.5;14.8;24.2;21.4;19;11;6.4;8.8;36.8;21.2;7.2;0;16;0;19.4
24.11.2013;0;1;0.6;1.4;1;3;2.6;2.2;0.8;1.4;3;6;4.6;12;4;0.8;4;13.8;11;3.8;0;10.6;0;11
25.11.2013;0;0.2;0.6;1.2;0;0.8;1;1;0;1;0.6;0.2;0;3.2;0;0;0;1.2;0.2;0;0;0.4;0;1
26.11.2013;0;0.2;0.2;0.4;0.2;0;0;0.2;0.8;0.4;0.4;0;0;0.5;0;0;0.2;0.2;0.6;0.2;0;0.4;0;0.4
27.11.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0
28.11.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29.11.2013;0.4;1.4;2.4;1.2;1.4;0.8;0.2;0.4;2;1.4;1;0.4;1;0.5;1;0.2;0;0.2;0.6;0;0;0.6;0;0.8
30.11.2013;2.2;4.6;11.8;10.4;6;8.8;8.4;5.8;4;5.5;6.8;9.8;6.6;8.1;5;3.8;3.8;7.2;4.6;3.4;0;5.2;0;6
01.12.2013;0;0.2;0.2;1.2;0.2;0.5;0.5;0.2;1.4;0.1;0.2;0.6;0.2;0;1;0;0.6;0.2;0.4;0.2;0;1.4;0;0.2
02.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0
03.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2013;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0.1;0;0;0;0;0.2;0;0;0;0;0.2
05.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0
06.12.2013;2.2;2.6;0.6;1.4;3.8;1.8;1.8;1.2;8.2;2.7;2.8;4.8;3.8;2.8;4;1.6;0.4;3;1.6;1.8;0;0.6;0;1.4
07.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.12.2013;0;0;0;0.2;0.2;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0
10.12.2013;0;0;0;0;0;0;0;0.2;0.2;0.1;0.2;0.2;0;0;0;0.2;0.2;0;0;0;0;0;0;0
11.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2
12.12.2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;;0;0;0
13.12.2013;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;;0;0;0
14.12.2013;0.2;3.4;0.2;0.4;0.4;2;2;0;3;1.8;0.2;0;0.2;3.6;1;0;0.2;0.8;0;0;;0;0;0.2
15.12.2013;0;0;0;0;0.2;3.2;3.2;0.2;0.4;0;0;0;0.2;0;0;0.4;0;0.6;0;0;;0;0;0
16.12.2013;0.2;0;0.2;0.2;0.2;0.1;0.1;0.8;0.2;0.1;0;1.2;0.2;0.1;0;0.2;0;0.4;0;0;;0;0;0
17.12.2013;0;0;0;0;0;0;0;0;1;0.1;0.4;0.4;0.4;0;0;0.2;0;0;0;0;;0;0;0
18.12.2013;0;0;0;0;0.2;0;0;0;0.4;0;0.2;0;0.2;0;0;0;0.2;0;0;0.2;;0;0;0.4
19.12.2013;5;7.8;0.2;13.4;3.4;1.2;1.2;8;13;15.6;7.6;4.6;10.4;0;6;11.2;0.6;1.6;2.4;1.2;;0;0;0.2
20.12.2013;5.6;3.2;0;7.4;0.8;1;1;8.2;6.2;6.9;7.2;6.2;4;0.3;5;7;4.2;1;0.8;0.8;;0;0;0.6
21.12.2013;0.2;0;0;0;0;0.1;0.1;0;0;0.2;0.2;0.2;0;0;0;0.2;0.2;0.2;0;0.2;;0;0;0.2
22.12.2013;0;0;0.2;0.2;0.2;0.1;0.1;0.2;0;0.1;0;0;0.2;0.1;0;0.2;0;0;0;0;;0;0;0
23.12.2013;0;0;0;0.2;0;0;0;0;0.8;0;0;0;0;0.1;0;0.6;0;0;0;0;;0;0;0
24.12.2013;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;1;0.2;0.4;0;0;0;;0;0;0
25.12.2013;30;34.4;2.2;19.8;7;11.6;11.6;17.2;15;15.4;11.8;15;14.6;2.3;15;17.8;10.4;7.2;7.6;5.4;;5.6;0;3.2
26.12.2013;13.8;29.6;0;19.4;0;17.8;17.8;27;1.2;22.9;15.6;34.6;21.2;22.9;18;20;19;9;21;14.2;;14.8;0;20.6
27.12.2013;0;0;0.2;0;0;0;0;0.2;0;0;0;2;0;0;0;0;0.2;6.6;0.2;0;;9.6;0;4
28.12.2013;8.8;8.8;0.4;6.2;5.4;2.6;2.6;5.8;5.2;4.4;5;5.6;5.4;1.8;7;4.2;3.4;11.6;5.2;2.2;;2.6;0;1.2
29.12.2013;0.8;0.4;0.2;0.4;1.2;0.7;0.7;2;2.2;0.7;1;0.2;0.4;0.8;2;1.6;0.6;0.4;0.6;0.8;;1.8;0;0.8
30.12.2013;0;0;0;0.2;0;0;0;0.2;0;0.1;0;0;0;0;0;0;0;0;0;0;;0;0;0
31.12.2013;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0.4;0;0;0;0.2;0;0;0;;0;0;0
01.01.2014;0.2;0.2;0.2;1.2;0.6;0.5;1.2;0.6;0.2;0.6;0;2.2;0.2;0.2;1;0.2;0.4;1.2;0.2;0.2;0;0;0;0.2
02.01.2014;5;6.2;0;3.8;0.8;1;0.8;2;13.2;6.5;4.6;0.6;2.8;0.5;6;10;5;0.8;1.2;2.2;0;0;0;0.6
03.01.2014;0.4;0.6;0;1.4;5.6;14;0.4;1;0.4;1;1.4;0.6;3.6;1.1;1;0.8;0.8;0.6;0.8;0.8;0;0;0;0.8
04.01.2014;11;11;0;10.8;0;12.1;22.6;18;0.2;14.6;13.2;25.6;26;0.9;20;13;15.6;9.8;7.2;10.8;0;0;0;1.2
05.01.2014;1.2;2.8;0.4;6.8;4;3.8;4.2;3.8;2;3.7;4.2;3.4;2.6;1.1;2;0.8;0.8;5.2;2.4;0.8;0;0;0;0.6
06.01.2014;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
07.01.2014;0;0;0;0.6;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08.01.2014;0;0;0.2;0.2;0.6;0.4;0;0.4;0.8;0.6;1.2;0.2;0.6;0;1;0.4;1;0.2;0;0.6;0.6;0.6;0;0
09.01.2014;1;0.6;0;0;0.8;1.4;0.2;1.2;1.2;0.7;0.4;1;0.6;0;0;0.6;0.2;0;0.2;0;0;0;0;0
10.01.2014;1.8;1.6;0.2;1;1.2;2.2;2.4;3;0.6;0.1;0.2;4.4;5.8;7.6;3;0.4;1.6;7.2;6.6;3.6;5.2;5.2;0;7
11.01.2014;0;0;0.2;0.6;0.8;0.6;0.2;0.6;0.2;0.2;0.2;0.4;0.4;0.2;0.4;0.2;0.4;1;0.6;0.6;1.2;1.2;0;1.8
12.01.2014;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0
13.01.2014;3;4;5;2.2;2.2;3.6;1.8;3;3.2;3.3;3;2.8;2;0;2;3.6;0.8;0.6;0.2;0;0;0;0;0.2
14.01.2014;1.4;2.4;0.6;4.8;0.4;11.8;11.4;8.6;0.4;6;4.8;12;10;13.9;8;4.8;6;14.6;9.6;7;0;0;0;11.2
15.01.2014;0.4;0.8;0.2;0.4;0;0;0.2;0;1.4;0.1;0;0.2;0;0;0;0.2;0.2;0;0;0;0;0;0;0
16.01.2014;15.2;29;0.2;12.6;2.4;7.4;3.8;10.2;7.8;10.3;9.8;5.4;3.8;0.2;5;11.8;1;1.6;1;0.6;0.8;0.8;0;0.6
17.01.2014;0.2;0.6;0;0.2;0;3.2;1.8;3.4;1.6;1.8;3.4;4;2.6;0.5;3;2.4;3.6;2.6;1.6;1.4;1.4;1.4;0;1
18.01.2014;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0;0;0.2
19.01.2014;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.01.2014;0.2;0.4;0.8;0.4;0;0.4;0.4;0;0;0;0;0.2;0;0.9;0;0;0.2;0;0.2;0.2;0;0;0;0.6
21.01.2014;0;0;0;0.2;0;1;0.4;0.2;0;0;0;1.2;0.2;1.7;0;0.2;0.2;2.4;1.6;0.2;0;0;0;2
22.01.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.01.2014;2;4.2;0;1.6;1.4;0.5;1.4;1.8;1.4;1;1.2;1.4;3.2;0.8;1;1.8;0.6;1;1.4;0.6;0;0;0;0.6
24.01.2014;1.8;4.4;0;7.8;5.4;5.7;4.8;5.2;10.4;5.3;4.6;5.4;5.6;6.5;4;2.2;1.8;7.2;5;1.4;0;0;0;3.8
25.01.2014;0;0;0;0;0;0;0;0;0;0.1;0.2;0;0.2;1.2;0;0;0;0.2;0.2;0.2;0;0;0;0.2
26.01.2014;0.6;1.2;1;5.2;3.2;3.8;3.2;6.6;9;4.4;5;0.6;6.8;2.1;4;11.8;4.4;2;4.2;4.8;0;0;0;1.4
27.01.2014;5.8;7.4;0;5.4;4.8;5.2;5.6;3;6.4;4.5;2.6;4.4;7.6;5.9;6;4.4;6.8;6.8;6.6;2.4;0;0;0;5
28.01.2014;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0.2;0.8;0.4;0;0;0;0;0;0
29.01.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.01.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.02.2014;6;6.8;5.4;2.6;0.8;9.6;3.4;3.2;2.4;1.8;2;3;1.2;1.3;2;1.4;0.2;1.6;1;0.4;0.8;0.8;0;1
02.02.2014;3.4;3.4;5.2;2.4;0;3.8;4.6;4;0;3;3.4;5;4.4;8;4.2;2.2;3.4;5.4;5.6;3.4;5.4;5.4;0;7.2
03.02.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0.6;0;0;0;0;0;0;0
04.02.2014;1.2;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0
05.02.2014;0.2;0.4;1.4;0.8;1.6;4.4;3.2;2;1.4;1.2;2;1.6;2.8;0.2;3;2;1.4;0.6;0.2;0;0;0;0;0
06.02.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0
07.02.2014;3;4.8;6.4;3.6;6.2;7.4;7;4.6;5.6;3.9;4;4.2;9.8;3.3;4;5.2;3.6;4.6;5.4;2.6;3.6;3.6;0;2.8
08.02.2014;1;0.6;2.2;0.6;0.2;1;0.6;0;1.2;0.7;0.2;0;0.6;3.6;2;4;1.6;0.4;1.4;0.6;1.2;1.2;0;2
09.02.2014;0.2;0.6;0.8;0.8;3;0.6;0.4;3.2;3.6;0.7;1;0.6;4.2;1.3;1;0.6;1;0.8;1.2;1.4;1.8;1.8;0;1.2
10.02.2014;1;1.2;2;1;1.8;2;1.8;2.6;1.2;0.2;0.4;2;2.8;0.5;2;0.6;1.6;3.6;2.6;1.4;1.4;1.4;0;1.2
11.02.2014;0.2;0.4;0.8;0.8;1;1.6;2;0.2;1.2;0.3;0.2;1.6;0.6;1.7;0;0.2;0;3;0.4;0.4;0.6;0.6;0;1
12.02.2014;0;0;0;0.2;0.4;0;0;0.6;0.4;0.1;0.2;0.2;0.2;0;0;0;0.2;0;0;0;0;0;0;0
13.02.2014;15.6;19.6;10.4;15.6;12.2;21.4;21.2;12.6;16;12;26.8;17.2;22.6;14.3;12;16.6;12.4;17.8;17.6;6;10.6;10.6;0;13.8
14.02.2014;0;0;0;0;0;0;0.4;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0
15.02.2014;12.4;22;24.4;15.2;6;20.8;10.4;14.2;13.2;9.9;8.4;11;11.6;1.7;15;16.4;6.6;8.2;6.6;3;0;0;0;2.4
16.02.2014;2.6;1.8;2.8;1.6;0.4;1.8;1.8;0.4;0;1.9;3.2;1.4;2.4;2.9;2;2.6;6.2;4.4;4;1.6;3.6;3.6;0;2.2
17.02.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3.4;0;0;0;0
18.02.2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.02.2014;0.4;0;0;0;0;0.2;0.4;0;0;0;0;0.2;0;0.2;0;0;0;0.2;0;0;0;0;0;0
20.02.2014;0.8;0.8;0.6;0.4;0.4;0.6;1.6;0.6;0.6;0.4;1;1;0.6;0;0;0.6;0.2;0.8;0.2;0.4;0;0;0;0
21.02.2014;3.6;3.6;9.6;6.8;2;9.6;8.2;10;5.4;4.9;5.8;9.6;8.6;6.3;8;3.2;5.8;13.4;7.6;4.8;7;7;0;4.2
22.02.2014;1.4;2;5.8;3.6;3.6;5;3.2;3;3;2.2;3;4.4;2.4;0.9;2;1.2;0.8;6.6;2;0.6;2.2;2.2;0;2.2
23.02.2014;0.2;0;0.4;0.6;0;0.6;0.2;0.4;0.6;0.1;0.2;0.2;0;0;1;0.2;0.8;0;0.2;0.2;0.4;0.4;0;0.4
24.02.2014;0;0;0;0.2;0;0;0;0.2;0;0.1;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.2
25.02.2014;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.2;0;0;0;0;0;0;0
26.02.2014;12.6;13.6;11.2;5.8;5;5;1.6;5;6.2;5.7;4;5.2;11.2;7;11;13.2;6;13.8;13.2;10.6;6.8;6.8;0;9.6
